Sold Date,Name,Main Price,Shipping Cost,Listing Total,Listing Type
2024-11-17,2019 Panini Prizm Kyler Murray Silver Prizm Rookie RC #301 Read Description.,29.99,5.85,35.84,Buy It Now
2024-11-06,2019 Kyler Murray Panini Silver Prizm Rookie RC #301,90.0,4.26,94.26,or Best Offer
2024-10-02,2019 Panini Prizm Kyler Murray Silver Prizm Rookie RC #301,82.88,0.0,82.88,25 bids
2024-09-30,KYLER MURRAY Silver Holo Rookie! 2019 PANINI PRIZM #301 Rc CARDINALS,199.99,3.95,203.94,or Best Offer
https://www.ebay.com/sch/i.html?_nkw=2019+Panini+Prizm+Kyler+Murray+-auto+-CSG+-PSA+-BGS+-SGC+-HGA+301+-shimmer+-sparkle+-wave+-scope+-power+-vinyl+-finite+-ice+-hyper+-disco+-lazer+-camo++silver&Graded=No&_sacat=0&type=s&_dcat=261328&LH_Complete=1&LH_Sold=1&_ipg=240
Year,Product,Player Name
2019,Panini+Prizm,KylerMurray
