Sold Date,Name,Main Price,Shipping Cost
2024-06-17,2018 Panini Donruss football Josh Allen Rookie Jersey,40.00,3.96
2024-06-17,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),43.00,1.50
2024-06-16,2018 DONRUSS JOSH ALLEN PRESS PROOF BLUE RATED ROOKIE BUFFALO BILLS EM2,58.78,4.50
2024-06-16,2018 Panini Donruss - Rated Rookie Press Proof Blue #304 Josh Allen (RC),53.00,4.02
2024-06-16,2018 Panini Donruss - Rated Rookie Press Proof Gold #304 Josh Allen /50 (RC),500.00,8.30
2024-06-16,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),55.00,3.86
2024-06-15,2018 Donruss Josh Allen #304 Rated Rookie RC Buffalo Bills,59.96,4.49
2024-06-15,2018 Donruss Rated Rookie RC #304 Josh Allen Buffalo Bills,59.40,0
2024-06-15,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),45.00,4.02
2024-06-14,2018 Panini Donruss Rated Rookie #304 Josh Allen RC -Damage See Pics-,30.00,4.50
2024-06-14,2018 NFL Panini Donruss Josh Allen Press Proof Blue Rated Rookie RC #304 Bills,100.00,4.02
2024-06-13,2018 Panini Donruss Josh Allen RC Rated Rookie #304 Bills,59.99,4.00
2024-06-13,2018 Josh Allen Donruss Rated Rookie Card # 304,55.00,3.96
2024-06-13,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),44.00,3.96
2024-06-13,2018 Donruss Rookie Gridiron Kings Josh Allen Rookie Buffalo Bills #RGK-4,22.00,3.96
2024-06-12,2018 NFL Panini Donruss Josh Allen Press Proof Rookie RC #304 Bills,39.99,4.02
2024-06-12,2018 Panini Donruss Josh Allen Rated Rookie Bills RC #304,51.00,4.99
2024-06-12,2018 Panini Donruss Josh Allen Rookie Threads Green Foil RC #4 SP Rare Bills,25.00,4.02
2024-06-12,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC) Team Collection Sealed,299.99,0
2024-06-11,Josh Allen 2018 Donruss RC The Rookies #R-4 Must Have!!!,23.73,3.96
2024-06-11,Josh Allen 2018 Donruss Rated Rookie #304,49.99,5.25
2024-06-11,2018 Panini Donruss - Rated Rookie Press Proof Blue #304 Josh Allen,90.00,4.11
2024-06-10,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),54.00,5.25
2024-06-10,"2018 Panini Donruss #304 Josh Allen Buffalo Bills RC Rookie ""CREASED""",12.50,5.00
2024-06-10,Josh Allen RC - 2018 Donruss Rookie Gridiron Kings Canvas - Bills MVP!,29.95,4.49
2024-06-10,2018 Panini Donruss Rated Rookie Full Set 50 Cards JOSH ALLEN RC + MORE N MINT+,91.00,0
2024-06-10,Josh Allen 2018 Donruss Rated Rookie #304,53.00,5.45
2024-06-09,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),75.00,4.11
2024-06-10,2018 Donruss Josh Allen Press Proof Blue Rated Rookie RC #304 Buffalo Bills 🔥,138.00,5.40
2024-06-09,2018 Panini Donruss - Rated Rookie Aqueous Test #304 Josh Allen (RC),56.00,3.96
2024-06-09,2018 Panini Donruss Rookie Threads Josh Allen #4 Buffalo Bills Rough Condition,10.00,1.12
2024-06-09,"2018 Josh Allen RC - Donruss, Rated Rookie #304 Base - Bills",51.00,4.02
2024-06-09,"2018 Josh Allen RC - Donruss, Rookie Gridiron Kings Insert #RGK-4 - Bills",20.50,4.02
2024-06-09,2018 Donruss Josh Allen RC Rookie Phenom Patch Card #4 Bills Panini,38.00,5.00
2024-06-09,2018 Panini Donruss - Rated Rookie Aqueous Test #304 Josh Allen (RC),55.00,4.02
2024-06-09,2018 Panini Donruss - Rookie Gridiron Kings #RGK-4 Josh Allen (RC),9.25,1.00
2024-06-09,2018 Panini Donruss Football Rated Rookie RC Josh Allen #304,65.00,5.55
2024-06-09,2018 Panini Donruss Josh Allen Rated Rookie #304 RC Bills NICE,60.00,4.55
2024-06-07,2018 Panini Donruss-Rated Rookie Aqueous Test #304 Josh Allen (RC) COMPS $50-$80,34.00,4.02
2024-06-06,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),50.00,1.50
2024-06-06,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),49.99,0
2024-06-06,2018 Donruss Josh Allen Rated Rookie #304,45.00,3.96
2024-06-05,2018 Donruss - Rated Rookie #304 Josh Allen (RC),50.00,4.36
2024-06-05,Josh Allen 2018 Panini Donruss - Rated Rookie #304 (RC) Card Buffalo Bills,59.99,6.65
2024-06-04,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),60.00,3.96
2024-06-03,"2018 Panini Donruss - Rated Rookie #304 Josh Allen, Josh Allen (RC)",59.99,4.36
2024-06-03,2018 Panini Donruss Josh Allen Rated Rookie Card #304,45.00,4.95
2024-06-03,2018 Panini Donruss Football Rated Rookie RC Josh Allen #304,41.01,4.50
2024-06-03,2018 DONRUSS JOSH ALLEN PRESS PROOF BLUE RATED ROOKIE BUFFALO BILLS EM2,71.00,4.50
2024-06-03,2018 DONRUSS JOSH ALLEN RATED ROOKIE BUFFALO BILLS EM2,38.88,4.50
2024-06-03,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),49.99,3.96
2024-06-03,2018 Donruss Rookie Threads Josh Allen rc Bills,21.71,0
2024-06-02,2018 nfl Panini Donruss Josh Allen Press Proof Blue Rated Rookie RC #304 Bills ,140.00,3.79
2024-06-01,2018 Panini Donruss - Rated Rookie Press Proof Blue #304 Josh Allen (RC),67.00,4.02
2024-05-31,2018 Donruss Josh Allen Press Proof Blue Rated Rookie RC #304 Buffalo Bills 🔥,140.00,4.02
2024-05-31,2018 Panini Donruss JOSH ALLEN RC THE ROOKIES Holo Checkerboard Refractor MINT,23.00,4.02
2024-05-31,2018 Panini Donruss Base Rated Rookie JOSH ALLEN RC #304 Bills,69.99,3.96
2024-05-31,JOSH ALLEN 2018 DONRUSS RATED ROOKIE,60.00,3.86
2024-05-31,"2018 Panini Donruss - Rated Rookie #304 Josh Allen, Josh Allen (RC)",50.00,3.86
2024-05-30,2018 Panini Donruss - The Rookies #R-4 Josh Allen ,22.50,1.12
2024-05-30,Josh Allen 2018 Donruss Rated Rookie #304,55.00,5.20
2024-05-29,2018 Panini Donruss Rated Rookie Josh Allen #304 Rookie RC,68.38,4.99
2024-05-29,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC) - Buffalo Bills,43.99,4.02
2024-05-28,2018 Jim Kelly / Josh Allen - Donruss Passing The Torch Player Worn Relic 44/49 ,50.55,4.02
2024-05-28,A3300- 2018 Donruss #304 Josh Allen RR RC - NM-MT (RATED ROOKIE CARD),69.99,0.64
2024-05-28,Josh Allen 2018 Panini Donruss The Rookies #R-4  Buffalo Bills Rookie RC🔥,34.99,4.02
2024-05-27,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),40.00,8.72
2024-05-27,"2018 Panini Donruss - Rated Rookie #304 Josh Allen, Josh Allen (RC)",80.00,3.96
2024-05-27,2018 Panini Donruss Josh Allen Gridiron Kings Rookie #RGK-4 Bronze Buffalo Bills,12.00,1.12
2024-05-27,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC) + 2 More,51.00,5.52
2024-05-27,2018 Panini Donruss Josh Allen Gridiron Kings Rookie #RGK-4 Bronze Buffalo Bills,12.99,3.84
2024-05-27,Josh Allen 2018 Panini Donruss The Rookies #R-4  Buffalo Bills Rookie RC🔥,26.00,5.85
2024-05-26,2018 Panini Donruss Rated rookie  Josh Allen RC Buffalo Bills Read Descripton ⬇️,32.99,3.96
2024-05-26,2018 Donruss Josh Allen Rated Rookie RC #304 Buffalo Bills,55.00,5.00
2024-05-26,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),51.00,4.11
2024-05-25,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),45.00,0
2024-05-25,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),59.99,4.02
2024-05-25,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),50.00,5.15
2024-05-24,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),50.00,4.36
2024-05-24,Josh Allen 2018 Panini Donruss The Rookies #R-4  Buffalo Bills Rookie,37.50,0
2024-05-23,2018 PANINI DONRUSS #304 JOSH ALLEN RATED ROOKIE RC ,44.74,7.70
2024-05-23,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),55.00,4.11
2024-05-22,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),37.50,3.50
2024-05-22,2018 Donruss Press Proof Blue #304 Josh Allen RATED ROOKIE RC BILLS,91.00,4.75
2024-05-22,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),70.00,5.35
2024-05-21,2018 Panini Donruss The Rookies #R-4 Josh Allen Buffalo Bills RC,39.99,5.35
2024-05-21,2018 Donruss Josh Allen Press Proof Red Rated Rookie RC #304 Bills,165.50,4.75
2024-05-21,2018 Panini Donruss JOSH ALLEN Rookie Phenom RC PLAYER WORN Jersey Patch Relic,60.00,5.95
2024-05-20,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),49.99,4.99
2024-05-20,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),55.00,3.50
2024-05-20,2018 Panini Donruss Rated Rookie #304 Josh Allen RC Buffalo Bills Star ⭐ QB! NFL,59.00,4.02
2024-05-19,2018 Panini Donruss Josh Allen Rated Rookie RC #304 Buffalo Bills,64.00,5.35
2024-05-19,2018 Josh Allen Donruss Rookie Gridiron Kings RC Insert #RGK-4 Buffalo Bills,30.00,5.25
2024-05-19,JOSH ALLEN 2018 DONRUSS RATED ROOKIE PRESS PROOF BLUE RC,95.00,5.00
2024-05-19,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),49.00,4.36
2024-05-19,Josh Allen 2018 Donruss press proof bronze rated rookie. Super Short Print. ,135.00,6.99
2024-05-19,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC) + 2 More,51.00,5.52
2024-05-19,2018 Panini Donruss - Rated Rookie Press Proof Blue #304 Josh Allen (RC),52.00,5.35
2024-05-19,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),20.00,1.12
2024-05-19,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),51.00,5.90
2024-05-19,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),35.00,4.02
