Sold Date,Name,Main Price,Shipping Cost,Listing Total,Listing Type
2024-10-15,2019 Panini Prizm Hyper Prizm 174/175 Kyler Murray #301 Rookie RC,72.0,4.99,76.99,13 bids
2024-10-11,2019 Panini Prizm - Rookies Hyper Prizm #301 Kyler Murray /175 (RC),90.0,4.58,94.58,or Best Offer
2024-08-11,2019 Panini Prizm - Rookies Hyper Prizm #301 Kyler Murray /175 (RC),137.5,5.65,143.15,13 bids
https://www.ebay.com/sch/i.html?_nkw=2019+Panini+Prizm+Kyler+Murray+301+-CSG+-PSA+-BGS+-SGC+-HGA+hyper+-silver+-orange+-blue+-green+-neon+-green+-pink+-red+-red+-white+-blue+-purple+-gold+-black&Graded=No&_sacat=0&type=s&_dcat=261328&LH_Complete=1&LH_Sold=1&_ipg=240
Year,Product,Player Name
2019,Panini+Prizm,KylerMurray
