Sold Date,Name,Main Price,Shipping Cost,Listing Total
2024-07-08,2018 Panini Donruss Football Josh Allen Rated Rookie RC #304 Buffalo Bills,47.0,4.75,51.75
2024-07-08,2018 Donruss Josh Allen Rated Rookie Card RC #304 Bills,40.0,4.75,44.75
2024-07-08,2018 Panini Donruss Josh Allen RC Bills Rookie #304,54.0,4.99,58.99
2024-07-08,2018 Donruss #304 Josh Allen,50.0,0.0,50.0
2024-07-07,2018 Donruss Josh Allen Buffalo Bills RC Rated Rookie #304,50.5,5.55,56.05
2024-07-07,2018 PANINI DONRUSS THE ROOKIES #R4 JOSH ALLEN RC (J),20.55,5.0,25.55
2024-07-07,2018 NFL Panini Donruss Josh Allen Press Proof Blue Rated Rookie RC #304 Bills,129.99,0.0,129.99
2024-05-29,2018 Panini Donruss Rated Rookie Josh Allen #304 Rookie RC,68.38,4.99,73.37
2024-07-06,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),50.0,4.02,54.02
2024-07-05,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),50.0,4.36,54.36
2024-07-05,2018 Donruss - Josh Allen - Rookie Threads Material Relic Card - Buffalo Bills,50.0,3.96,53.96
2024-07-05,2018 Panini Donruss BLUE PRESS PROOF - Rated Rookie #304 Josh Allen (RC),99.0,5.25,104.25
2024-07-05,Josh Allen 2018 Donruss Gridiron Kings Rookie #RGK-4 Bills EX/NM,25.0,0.0,25.0
2024-07-04,2018 Panini Donruss - Rookie Gridiron Kings #RGK-4 Josh Allen (RC),15.0,4.11,19.11
2024-07-04,Josh Allen 2018 Patch Donruss passing the torch /49 Jim Kelly 1 on ebay Rare!!,399.99,5.99,405.98
2024-07-03,2022 Panini Clearly Donruss Josh Allen Rated Rookie RC 2018 Retro Rookie,12.5,5.25,17.75
2024-07-03,Josh Allen 2018 Donruss Rated Rookie Buffalo Bills,50.0,4.02,54.02
2024-07-02,Josh Allen 2018 Donruss Rated Rookie RC #304 Buffalo Bills A26,56.0,5.0,61.0
2024-07-02,2018 Panini Donruss Josh Allen Rated Rookie #304 RC Bills NICE,65.0,4.02,69.02
2024-07-02,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),51.99,4.02,56.01
2024-07-02,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),60.0,4.02,64.02
2024-07-01,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),60.0,4.02,64.02
2024-07-01,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),32.0,5.45,37.45
2024-07-01,2018 Donruss Rated Rookie Josh Allen #304 (RC),54.0,4.02,58.02
2024-07-01,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC) (Funky Lower Left Corner,19.99,0.64,20.63
2024-07-01,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),50.0,4.11,54.11
2024-06-30,2018 Donruss Press Proof Blue #304 Josh Allen RATED ROOKIE RC BILLS,89.99,12.45,102.44
2024-06-30,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC)  bills. ns4,47.99,5.35,53.34
2024-06-30,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),50.0,5.35,55.35
2024-06-29,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),53.0,1.12,54.12
2024-06-29,2018 Donruss Josh Allen Rated Rookie Bills,50.0,4.36,54.36
2024-06-29,2018 Panini Donruss JOSH ALLEN #R-4 The Rookies RC-Buffalo Bills,19.99,4.11,24.1
2024-06-28,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),50.88,1.5,52.38
2024-06-27,2018 Panini Donruss Josh Allen Rated Rookie #304 RC Bills,49.88,5.55,55.43
2024-06-27,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),50.0,0.0,50.0
2024-06-27,2018 Donruss Josh Allen #304 RC | Soft Corner - See pictures - Read Description,39.99,4.95,44.94
2024-06-27,2018 Donruss Josh Allen Rated Rookie PSA 10 Bills,130.0,4.36,134.36
