Sold Date,Name,Main Price,Shipping Cost,Listing Total,Listing Type
2024-11-04,Josh Allen 2018 Panini Donruss Blue Press Proof Rated Rookie RC 304 Bills,103.0,4.58,107.58,or Best Offer
2024-11-01,2018 Panini Donruss Football Josh Allen BILLS #304 RC Rookie Blue Press Proof,80.0,5.0,85.0,14 bids
2024-10-29,JOSH ALLEN 2018 DONRUSS RATED ROOKIE PRESS PROOF BLUE PARALLEL RC #304 $50,29.99,5.0,34.99,1 bid
2024-10-22,2018 PANINI DONRUSS JOSH ALLEN BLUE PRESS PROOF SP ROOKIE # 304 BUFFALO BILLS RC,162.5,5.0,167.5,29 bids
2024-10-21,2018 Panini Donruss - Rated Rookie Press Proof Blue #304 Josh Allen (RC),129.99,4.99,134.98,or Best Offer
2024-10-20,2018 Panini Donruss Blue Press Proof Rated Rookie #304 Josh Allen (RC) 🔥🔥,82.0,4.37,86.37,16 bids
2024-10-17,Josh Allen 2018 Panini Donruss Blue Press Proof Rated Rookie RC 304 Bills,125.0,0.0,125.0,Best offer accepted
2024-10-07,Josh Allen 2018 Panini Donruss Blue Press Proof Rated Rookie RC 304 Bills,57.0,5.0,62.0,13 bids
2024-10-06,DA87004 2018 Donruss Press Proof Blue #304 Josh Allen RR RC,66.0,5.0,71.0,19 bids
2024-09-24,2018 nfl Panini Donruss Josh Allen Press Proof Blue Rated Rookie RC #304 Bills🔥,61.0,4.37,65.37,9 bids
2024-09-21,2018 Panini Donruss Rated Rookie Press Proof Blue Josh Allen #304 Rookie RC,76.0,4.99,80.99,22 bids
2024-09-15,2018 nfl Panini Donruss Josh Allen Press Proof Blue Rated Rookie RC #304 Bills,115.0,0.0,115.0,Best offer accepted
2024-09-15,2018 Panini Donruss Josh Allen Press Proof Blue Rated Rookie #304! MVP! Bills 🔥,78.0,0.0,78.0,16 bids
2024-09-10,2018 Panini Donruss - Rated Rookie Press Proof Blue #304 Josh Allen (RC),77.0,4.26,81.26,6 bids
2024-09-03,JOSH ALLEN 2018 PANINI DONRUSS #304 RATED ROOKIE BLUE PRESS PROOF RC,95.0,5.5,100.5,20 bids
2024-08-21,2018 Panini Donruss - Rated Rookie Press Proof Blue #304 Josh Allen (RC),93.5,5.85,99.35,Was: $110.00
https://www.ebay.com/sch/i.html?_nkw=2018+Donruss+-optic+-elite+-clearly+Josh+Allen+-CSG+-PSA+-BGS+-SGC+-HGA+304+press+proof+blue&Graded=No&_sacat=0&type=s&_dcat=261328&LH_Complete=1&LH_Sold=1&_ipg=240
Year,Product,Player Name
2018,Donruss+-optic+-elite+-clearly,JoshAllen
