Sold Date,Name,Main Price,Shipping Cost,Listing Total
2024-09-08,2019 Panini Prizm Kyler Murray RC Rookie #301 Arizona Cardinals,12.99,0.0,12.99
2024-09-06,2019 Panini Prizm - Rookies #301 Kyler Murray (RC),6.5,4.11,10.61
2024-09-06,2019 Panini Prizm Kyler Murray RC Rookie #301 Arizona Cardinals,12.99,0.0,12.99
2024-09-01,2019 Panini Prizm #301 Kyler Murray Rookie Arizona Cardinals,10.5,1.25,11.75
2024-09-01,2019 Panini Prizm #301 Kyler Murray RC,12.99,1.5,14.49
2024-09-01,2019 Panini Prizm - Rookies #301 Kyler Murray (RC),11.65,1.95,13.6
2024-08-31,KYLER MURRAY 2019 Panini Prizm #301 Rookie RC,15.0,1.25,16.25
2024-08-31,"K241,699 - 2019 Panini Prizm #301 Kyler Murray RC",10.0,3.0,13.0
2024-08-31,2019 Panini Prizm #301 Kyler Murray RC,10.95,1.25,12.2
2024-08-31,2019 Panini Prizm Kyler Murray #301 Rookie RC Arizona Cardinals,9.99,0.0,9.99
2024-08-30,2019 Panini Prizm - Rookies #301 Kyler Murray (RC),14.0,1.25,15.25
2024-08-30,Kyler Murray 2019 Panini Prizm #301 Arizona Cardinals Rookie Card,12.0,4.02,16.02
2024-08-29,Panini Prizm 2019 Kyler Murray Rookie #301 Arizona Cardinals,12.0,2.0,14.0
2024-08-29,2019 PANINI PRIZM #301 KYLER MURRAY ROOKIE RC CHROME CARDINALS,10.5,5.4,15.9
2024-08-28,"K238,705 - 2019 Panini Prizm #301 Kyler Murray RC",10.0,3.0,13.0
2024-08-25,2019 Panini Prizm Kyler Murray Disco Prizm Rookie RC #301 Cardinals,75.0,4.75,79.75
2024-08-25,Kyler Murray Rookie - 2019 Panini Prizm #301,15.0,0.75,15.75
2024-08-25,Kyler Murray 2019 Panini Prizm #301 Arizona Cardinals Rookie Card,9.99,0.0,9.99
2024-08-24,2019 Panini Prizm - Rookies #301 Kyler Murray (RC),6.5,1.12,7.62
2024-08-24,Kyler Murray 2019 Panini Prizm #301 Arizona Cardinals Rookie Card,7.5,3.96,11.46
2024-08-22,"K235,276 - 2019 Panini Prizm #301 Kyler Murray RC",10.0,3.0,13.0
2024-08-22,Kyler Murray 2019 Panini Prizm #301 Arizona Cardinals Rookie Card,12.99,1.99,14.98
2024-08-18,KYLER MURRAY 2019 Panini Prizm #301 Rookie RC,15.0,1.25,16.25
2024-08-15,2019 PANINI PRIZM #301 KYLER MURRAY ROOKIE RC CHROME CARDINALS,7.5,5.4,12.9
2024-08-15,KYLER MURRAY 2019 Panini Prizm #301 Rookie RC,14.99,1.25,16.24
2024-08-14,Panini Prizm 2019 Kyler Murray Rookie #301 Arizona Cardinals,9.99,1.29,11.28
2024-08-14,Kyler Murray Prizm RC #301 Arizona Cardinals Rookie 2019 Panini Clean Centered ,20.0,1.25,21.25
2024-08-12,2019 Panini Prizm Kyler Murray Base RC #301,11.5,1.25,12.75
2024-08-11,KYLER MURRAY 2019 PANINI PRIZM ROOKIE ARIZONA CARDINALS #301 RC AUTO Q0617,12.5,5.5,18.0
2024-08-11,(2) KYLER MURRAY 2019 Panini Prizm #301 Rookie RC,18.5,4.36,22.86
2024-08-11,2019 Panini Prizm - Rookies Hyper Prizm #301 Kyler Murray /175 (RC),137.5,5.25,142.75
2024-08-08,2019 Panini Prizm Kyler Murray Base RC #301,15.0,4.99,19.99
2024-08-04,2019 Panini Prizm - #301 Kyler Murray (RC),20.0,4.36,24.36
2024-08-04,KYLER MURRAY 2019 Panini Prizm #301 Rookie RC,14.99,1.79,16.78
2024-07-30,2019 Panini Prizm - Rookies #301 Kyler Murray (RC),14.99,0.0,14.99
2024-07-30,2019 Panini Prizm Kyler Murray Base Rookie Card RC #301 Cardinals,4.75,4.75,9.5
2024-07-30,2019 Panini Prizm Kyler Murray Base RC No. 301 Arizona Cardinals,12.95,1.0,13.95
2024-07-28,2019-20 Panini Prizm Football Kyler Murray Rookie RC #301 Cardinals,10.0,1.25,11.25
2024-07-26,KYLER MURRAY RC 2019 PANINI PRIZM BASE #301 ROOKIE CARD ARIZONA CARDINALS,14.99,0.0,14.99
2024-07-23,2019 Panini Prizm - Rookies #301 Kyler Murray (RC),8.5,1.25,9.75
2024-07-23,2019-20 Panini Prizm Football Kyler Murray Rookie RC #301 Cardinals,5.75,4.75,10.5
2024-07-23,2019 Panini Prizm Kyler Murray RC #301,11.99,1.25,13.24
2024-07-22,2019 Panini Prizm - Kyler Murray Rookie #301. Arizona Cardinals,15.0,4.43,19.43
2024-07-20,2019 Panini Prizm Rookies Lazer Prizm Kyler Murray #301 Rookie RC,54.3,4.99,59.29
2024-07-19,KYLER MURRAY RC 2019 PANINI PRIZM BASE 301 ROOKIE CARD camo 14/25 NEW PICS,557.5,5.8,563.3
2024-07-18,2019 Panini Prizm - Rookies #301 Kyler Murray (RC),10.0,1.25,11.25
2024-07-13,Kyler Murray 2019 Panini Prizm Rookie #301 RC Arizona Cardinals,12.99,1.5,14.49
2024-07-07,Kyler Murray 2019 Panini Prizm Rookie #301 RC Arizona Cardinals,12.99,1.5,14.49
