Sold Date,Name,Main Price,Shipping Cost,Listing Total,Listing Type
2024-11-18,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),139.99,4.26,144.25,or Best Offer
2024-11-18,2018 PANINI DONRUSS JOSH ALLEN ROOKIE PSA 10 GEM MINT #304 FOOTBALL CARD RC!!,159.99,4.37,164.36,1 bid
2024-11-18,RC PSA 10 Josh Allen RATED ROOKIE 2018 Panini Donruss #304 GEM Mint,149.0,4.99,153.99,or Best Offer
2024-11-17,2018 PANINI DONRUSS JOSH ALLEN #304 BUFFALO BILLS ROOKIE RC PSA 10 GEM MT,186.99,5.99,192.98,Buy It Now
2024-11-17,2018 PANINI DONRUSS #304 JOSH ALLEN RC RATED ROOKIE BILLS PSA 10 Gem Mint,139.99,5.85,145.84,Buy It Now
2024-11-17,2018 PANINI DONRUSS #304 JOSH ALLEN ROOKIE RC PSA 10,124.99,5.99,130.98,1 bid
2024-11-17,2018 PANINI DONRUSS #304 JOSH ALLEN ROOKIE RC PSA 10,130.5,5.99,136.49,3 bids
2024-11-17,2018 PANINI DONRUSS FOOTBALL #304. ***JOSH ALLEN RC***...***PSA 10***,135.5,10.0,145.5,25 bids
2024-11-17,2018 PANINI DONRUSS #304 JOSH ALLEN RC BUFFALO BILLS PSA 10 GEM MT RATED ROOKIE,152.5,6.05,158.55,23 bids
2024-11-17,2018 PANINI DONRUSS #304 JOSH ALLEN RC RATED ROOKIE BILLS PSA 10 F3996406-501,139.99,5.0,144.99,Buy It Now
2024-11-17,2018 PANINI DONRUSS #304 JOSH ALLEN RC RATED ROOKIE BILLS PSA 10,142.0,5.0,147.0,23 bids
2024-11-17,2018 Panini Donruss Rated Rookie #304 Josh Allen Buffalo Bills PSA 10,130.5,10.0,140.5,Was: $145.00
2024-11-17,2018 Panini Donruss #304 Josh Allen RC Rookie Gem Mint PSA 10,137.5,6.0,143.5,Buy It Now
2024-11-17,2018 Panini Donruss Josh Allen Rated Rookie RC #304 PSA Gem Mint 10,134.99,5.85,140.84,Buy It Now
2024-11-16,2018 PANINI DONRUSS #304 JOSH ALLEN RC BILLS PSA 10,140.44,0.0,140.44,Buy It Now
2024-11-16,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC) PSA 10 🔥,175.0,4.43,179.43,or Best Offer
