Sold Date,Name,Main Price,Shipping Cost,Listing Total,Listing Type
2024-11-10,2018 PANINI DONRUSS #304 JOSH ALLEN RC RATED ROOKIE NM-MINT OR BETTER,58.0,5.65,63.65,24 bids
2024-11-10,2018 Josh Allen Donruss #304 Rated Rookie Card RC,51.0,5.85,56.85,14 bids
2024-11-10,2018 PANINI DONRUSS #304 JOSH ALLEN RATED ROOKIE RC BUFFALO BILLS,42.99,5.0,47.99,Buy It Now
2024-11-09,2018 Panini Donruss Josh Allen Rated Rookie RC #304 Buffalo Bills,55.0,4.5,59.5,or Best Offer
2024-11-09,2018 Josh Allen Donruss #304 Rated Rookie Card RC - Buffalo Bills,50.0,5.0,55.0,Best offer accepted
2024-11-09,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),47.0,4.58,51.58,6 bids
2024-11-09,2018 Josh Allen Donruss #304 Rated Rookie Card RC,49.0,4.71,53.71,7 bids
2024-11-08,2018 Panini Donruss JOSH ALLEN Rated Rookie RC #304 Buffalo Bills 🔥🔥🔥,58.17,4.26,62.43,8 bids
2024-11-08,2018 PANINI DONRUSS #304 JOSH ALLEN RATED ROOKIE RC BUFFALO BILLS,44.95,5.55,50.5,Buy It Now
2024-11-07,2018 PANINI DONRUSS #304 JOSH ALLEN RC RATED ROOKIE - BUFAFLO BILLS,50.32,7.19,57.51,Best offer accepted
2024-11-07,2018 PANINI DONRUSS #304 JOSH ALLEN RC RATED ROOKIE - BUFAFLO BILLS,50.32,7.19,57.51,Best offer accepted
2024-11-06,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),58.0,4.26,62.26,24 bids
2024-11-05,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),42.0,4.14,46.14,or Best Offer
2024-11-05,2018 Panini Donruss Rated Rookie #304 Josh Allen (RC) Mint,52.5,4.37,56.87,or Best Offer
2024-11-04,2018 PANINI DONRUSS #304 JOSH ALLEN RC RATED ROOKIE NM-MINT OR BETTER,59.41,5.65,65.06,26 bids
2024-11-04,2018 Panini Donruss Josh Allen RC #304 Buffalo Bills Rookie,40.0,4.26,44.26,or Best Offer
2024-11-04,2018 Josh Allen Donruss #304 Rated Rookie Card RC,55.41,6.05,61.46,8 bids
2024-11-02,2018 Josh Allen Donruss #304 Rated Rookie Card RC,60.0,4.0,64.0,Best offer accepted
2024-11-01,2018 Panini Donruss - Rated Rookie #304 Josh Allen Buffalo Bills [BE],56.0,4.37,60.37,17 bids
2024-11-01,Josh Allen Rated Rookie #304 RC 2018 Donruss Panini NFL Buffalo Bills Mafia,59.99,4.25,64.24,Best offer accepted
2024-11-01,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),30.0,0.0,30.0,or Best Offer
2024-11-01,2018 Panini Donruss JOSH ALLEN Rated Rookie RC #304 Buffalo Bills 🔥🔥🔥,51.0,4.26,55.26,3 bids
2024-11-01,2018 Panini Donruss - Rated Rookie #304 Josh Allen Base (RC) Buffalo Bills,50.99,5.55,56.54,Was: $59.99
2024-11-01,2018 Donruss Josh Allen Rated Rookie Panini 304 RC Buffalo Bills Wyoming,50.0,5.0,55.0,1 bid
2024-11-01,2018 Donruss #304 Josh Allen I928,56.99,4.99,61.98,Best offer accepted
2024-11-01,2018 PANINI DONRUSS RATED ROOKIE JOSH ALLEN ROOKIE CARD #304 RC,95.0,5.49,100.49,1 bid
2024-11-01,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),40.0,4.37,44.37,or Best Offer
2024-10-31,2018 Panini Donruss Rated Rookie #304 Josh Allen (RC),52.99,4.26,57.25,or Best Offer
2024-10-31,2018 Donruss #304 Josh Allen,55.0,5.85,60.85,Best offer accepted
2024-10-29,2018 Panini Donruss Rated Rookie Josh Allen #304 Rookie RC Buffalo Bills,69.99,4.37,74.36,or Best Offer
2024-10-28,2018 PANINI DONRUSS #304 JOSH ALLEN RC RATED ROOKIE NM-MINT OR BETTER,58.0,5.65,63.65,12 bids
2024-10-28,2018 Josh Allen Rated Rookie #304 ICONIC Panini Donruss RC Bills NFL NM/MINT,62.5,4.37,66.87,or Best Offer
2024-10-28,2018 Panini Donruss Rated Rookie Josh Allen #304 Rookie RC,43.23,5.99,49.22,Buy It Now
2024-10-28,2018 Panini Donruss Rated Rookie - Josh Allen #304,59.99,0.0,59.99,or Best Offer
2024-10-27,2018 Panini Donruss Rated Rookie #304 Josh Allen (RC),43.0,6.0,49.0,Best offer accepted
2024-10-27,Josh Allen!!! 2018 Panini Donruss - Rated Rookie #304 (RC),50.0,1.29,51.29,9 bids
2024-10-26,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),55.0,4.26,59.26,or Best Offer
2024-10-25,2018 Panini Donruss JOSH ALLEN Rated Rookie RC #304 Buffalo Bills 🔥🔥🔥,41.0,4.26,45.26,Best offer accepted
2024-10-24,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),54.99,4.26,59.25,2 bids
2024-10-24,JOSH ALLEN 2018 Donruss RRookie # 304 & James Cook '22 RC & Amari Cooper PrizmRC,41.0,4.59,45.59,Best offer accepted
2024-10-23,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),50.0,4.37,54.37,13 bids
2024-10-22,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),50.0,4.16,54.16,1 bid
2024-10-21,Josh Allen 2018 Donruss Rated Rookie RC #304 Buffalo Bills,50.0,4.37,54.37,or Best Offer
2024-10-21,2018 Panini Donruss Josh Allen Rated Rookie RC #304 Buffalo Bills,51.0,4.75,55.75,or Best Offer
2024-10-20,2018 Josh Allen Panini Donruss - 💥Rated Rookie #304  (RC)  💥🏈 Nice Card!,64.99,0.0,64.99,22 bids
2024-10-20,Josh Allen 2018 Donruss Rated Rookie RC #304 Buffalo Bills,50.0,4.14,54.14,or Best Offer
2024-10-20,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),55.0,4.46,59.46,Best offer accepted
2024-10-17,2018 Panini Donruss JOSH ALLEN Rated Rookie RC #304 Buffalo Bills 🔥🔥🔥,40.0,4.26,44.26,1 bid
2024-10-17,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),60.0,4.37,64.37,or Best Offer
2024-10-17,2018 Donruss Rated Rookie Josh Allen #304,60.0,4.0,64.0,Buy It Now
2024-10-17,2018 Donruss #304 Josh Allen Rated Rookie RC Rookie Bills,50.99,4.37,55.36,2 bids
2024-10-16,2018 Panini Donruss - Rated Rookie #304 Josh Allen (RC),49.99,4.58,54.57,or Best Offer
2024-10-16,Josh Allen 2018 Donruss Rated Rookie RC #304 Buffalo Bills,33.0,3.75,36.75,17 bids
2024-10-15,DA88481 2018 Donruss #304 Josh Allen RC,50.93,5.0,55.93,14 bids
2024-10-15,2018 Donruss Football #304 Josh Allen Rookie Card 🔥,40.99,5.0,45.99,2 bids
2024-10-15,2018 Donruss #304 Josh Allen RATED ROOKIE RC BILLS,61.0,4.75,65.75,15 bids
