Sold Date,Name,Main Price,Shipping Cost,Listing Total,Listing Type
2024-08-27,2019 Panini Prizm - Rookies Hyper Prizm #301 Kyler Murray /175 (RC),130.0,4.26,134.26,Best offer accepted
2024-08-19,2019 Panini Prizm - Rookies Hyper Prizm #301 Kyler Murray 38/175 (RC),117.5,4.46,121.96,14 bids
https://www.ebay.com/sch/i.html?_nkw=2019+Panini+Prizm+Kyler+Murray+301+hyper+-silver+-orange+-blue+-green+-neon+-green+-pink+-red+-red+-white+-blue+-purple+-gold+-black&Grade=9&_sacat=0&type=s&_dcat=261328&LH_Complete=1&LH_Sold=1&_ipg=240
Year,Product,Player Name
2019,Panini+Prizm,KylerMurray
