Sold Date,Name,Main Price,Shipping Cost,Listing Total
2024-09-08,2018 Panini Donruss - Rated Rookie #317 Lamar Jackson (RC),25.0,4.02,29.02
2024-09-08,New Listing2018 Panini Donruss - Rated Rookie #317 Lamar Jackson (RC),20.0,4.02,24.02
2024-09-08,🔥🔥Lamar Jackson 2018 Donruss #317 Rated Rookie🔥🔥,13.38,1.99,15.37
2024-09-08, 2018 Lamar Jackson Donruss #317 Rated Rookie Card RC ,25.0,4.0,29.0
2024-09-07,2018 Panini Donruss - Rated Rookie #317 Lamar Jackson (RC),29.99,3.96,33.95
2024-09-07,Lamar Jackson 2018 Donruss #317 Baltimore Ravens,7.5,5.0,12.5
2024-09-07,Lamar Jackson 2018 Donruss #317 Baltimore Ravens,10.49,5.0,15.49
2024-09-07,2018 LAMAR JACKSON Donruss Rated Rookie Card #317 RC Baltimore Ravens  MVP,21.5,3.96,25.46
2024-09-06,2018 Panini Donruss - Rated Rookie #317 Lamar Jackson (RC),25.0,3.96,28.96
2024-09-06,2018 Donruss Football #317 Lamar Jackson RC Baltimore Ravens Rated Rookie Card,20.0,1.0,21.0
2024-09-06,Lamar Jackson Rated Rookie - 2018 Donruss #317,25.0,5.25,30.25
2024-09-06,2018 Panini Donruss - Rated Rookie #317 Lamar Jackson (RC),23.5,4.02,27.52
2024-09-06,Lamar Jackson Rookie Auto 2018 Panini Donruss Rated Rookie #317 Autograph JSA,199.0,4.99,203.99
2024-09-05,"2018 Panini Donruss, Rated Rookie #317 Lamar Jackson (RC)",18.99,1.25,20.24
2024-09-05,2018 Donruss Football #317 Lamar Jackson RC Baltimore Ravens Rated Rookie Card.,25.0,5.25,30.25
2024-09-05,Lamar Jackson 2018 Donruss Rated Rookie #317 RC Baltimore Ravens Mint,24.0,4.36,28.36
2024-09-04,2018 Panini Donruss - Rated Rookie #317 Lamar Jackson (RC),20.0,3.96,23.96
2024-09-04,2018 Panini Donruss - Rated Rookie #317 Lamar Jackson (RC),20.0,5.35,25.35
2024-09-04,2018 Panini Donruss - Rated Rookie #317 Lamar Jackson (RC),25.0,4.36,29.36
2024-09-03,2018 Panini Donruss Lamar Jackson #317 RC,15.5,3.96,19.46
2024-09-02,2018 Panini Donruss - Rated Rookie #317 Lamar Jackson (RC),34.99,4.11,39.1
2024-09-02,2018 Panini Donruss - Rated Rookie #317 Lamar Jackson (RC),25.0,0.99,25.99
2024-09-01,Lamar Jackson 2018 Panini Donruss Rated Rookie RC #317 Baltimore Ravens CENTERED,19.99,3.99,23.98
2024-09-01,2018 Panini Donruss - Rated Rookie #317 Lamar Jackson (RC) Ravens,16.58,3.96,20.54
2024-09-01,Lamar Jackson 2018 Donruss Rated Rookie #317 RC Baltimore Ravens  + Spellbound C,39.99,6.0,45.99
2024-08-31,2018 Donruss Lamar Jackson Rated Rookie #317,26.0,4.0,30.0
2024-08-30,Lamar Jackson 2018 Panini Donruss Rated Rookie RC #317 Baltimore Ravens,19.99,1.25,21.24
2024-08-29,2018 Donruss #317 Lamar Jackson,25.0,0.0,25.0
2024-08-29,Lamar Jackson 2018 Panini Donruss Rated Rookie RC #317,26.0,0.69,26.69
2024-08-29,2018 Panini Donruss - Rated Rookie #317 Lamar Jackson (RC),21.5,3.96,25.46
2024-08-28,2018 Panini Donruss - Rated Rookie #317 Lamar Jackson (RC) ,30.0,3.96,33.96
2024-08-28,2018 Panini Donruss - Rated Rookie #317 Lamar Jackson (RC),40.0,3.96,43.96
2024-08-28,2018 Panini Donruss - Rated Rookie #317 Lamar Jackson (RC),55.0,0.0,55.0
2024-08-27,Lamar Jackson 2018 Panini Donruss Rated Rookie RC #317 Baltimore Ravens,24.99,5.0,29.99
2024-08-27,2018 Panini Donruss - Rated Rookie #317 Lamar Jackson (RC),19.0,4.11,23.11
2024-08-26,2018 Donruss LAMAR JACKSON Rated Rookie Card RC No. 317 Gem  Baltimore Ravens,20.49,4.36,24.85
2024-08-26,2018 Panini Donruss - Rated Rookie #317 Lamar Jackson (RC),19.0,3.96,22.96
2024-08-25,2018 Panini Donruss - Rated Rookie #317 Lamar Jackson (RC),25.0,4.36,29.36
2024-08-25,2018 Panini Donruss - Rated Rookie #317 Lamar Jackson (RC),25.0,4.36,29.36
2024-08-24,2018 Donruss Lamar Jackson Rated Rookie #317,20.0,4.0,24.0
2024-08-24, 2018-19 Lamar Jackson Donruss #317 Rated Rookie Card RC ,25.0,4.0,29.0
2024-08-23,2018 Panini DonRuss Lamar Jackson Rated Rookie #317 Baltimore Ravens,20.0,2.99,22.99
2024-08-22,2018 Panini Donruss - Rated Rookie #317 Lamar Jackson (RC),25.0,4.02,29.02
2024-08-22,2018 Donruss LAMAR JACKSON Rated Rookie Card RC No. 317 EX+ Crease-Free,26.95,0.0,26.95
2024-08-21,2018 Donruss #317 Lamar Jackson Rookie 10007175,24.99,4.99,29.98
2024-08-20,2018 Panini Donruss - Rated Rookie #317 Lamar Jackson (RC),25.0,4.11,29.11
2024-08-20,2018 Panini Donruss - Rated Rookie #317 Lamar Jackson (RC),24.99,3.84,28.83
2024-08-19,2018 Donruss LAMAR JACKSON Rated Rookie Card RC No. 317 NM Baltimore Ravens,28.95,0.0,28.95
2024-08-19,2018 LAMAR JACKSON Donruss Rated Rookie Card #317 RC Baltimore Ravens ,19.5,4.19,23.69
2024-08-19,2018 Panini Donruss - Rated Rookie #317 Lamar Jackson RC,35.0,5.0,40.0
2024-08-19,2018 Panini Donruss - Rated Rookie #317 Lamar Jackson (RC),10.79,4.02,14.81
2024-08-18,2018 Panini Donruss - Rated Rookie #317 Lamar Jackson (RC),24.5,4.36,28.86
2024-08-17,2018 Panini Donruss - Rated Rookie #317 Lamar Jackson (RC),25.0,4.02,29.02
2024-08-17,Lamar Jackson 2018 Donruss Rated Rookie #317 RC Baltimore Ravens Mint,32.99,0.0,32.99
2024-08-15,2018 Panini Donruss - Rated Rookie #317 Lamar Jackson (RC),20.0,0.0,20.0
2024-08-14,Lamar Jackson 2018 Panini Donruss Rated Rookie RC #317,28.96,0.69,29.65
2024-08-14,2018 Donruss LAMAR JACKSON Rated Rookie Card RC No. 317 EX-MT Baltimore Ravens,27.95,0.0,27.95
2024-08-14,2018 Panini Donruss - Rated Rookie #317 Lamar Jackson (RC),15.0,0.69,15.69
2024-08-13,LAMAR JACKSON 2018 DONRUSS RATED ROOKIE BALTIMORE RAVENS #317 RC Q2301,19.49,5.5,24.99
2024-08-13,2018 Panini Donruss - Rated Rookie #317 Lamar Jackson (RC),20.5,1.25,21.75
2024-08-12,2018 Donruss #317 Lamar Jackson RC Rated Rookie  Exceptional Condition!!,29.0,4.02,33.02
2024-08-11,2018 Panini Donruss - Rated Rookie #317 Lamar Jackson (RC),35.0,4.36,39.36
2024-08-11,2018 Panini Donruss Lamar Jackson Base Rated Rooie Card RC #317 Ravens (B),23.5,4.75,28.25
2024-08-11,2018 Panini Donruss Lamar Jackson Base Rated Rooie Card RC #317 Ravens (A),24.19,4.75,28.94
2024-08-11,2018 Panini Donruss - Rated Rookie #317 Lamar Jackson (RC),25.0,3.96,28.96
2024-08-10,Lamar Jackson 2018 Donruss Rated Rookie #317 RC Baltimore Ravens Mint,31.0,4.02,35.02
2024-08-10,2018 Panini Donruss Lamar Jackson Rated Rookie RC #317 Baltimore Ravens,20.5,4.75,25.25
2024-08-10,2018 Panini Donruss Lamar Jackson RATED ROOKIE RC #317 Ravens,29.99,3.96,33.95
2024-08-09,2018 Panini Donruss - Rated Rookie #317 Lamar Jackson (RC),20.0,3.96,23.96
2024-08-09,2018 Panini Donruss - Rated Rookie #317 Lamar Jackson (RC),15.19,4.02,19.21
2024-08-08,Lamar Jackson 2018 Panini Donruss RATED ROOKIE RC #317 MVP RAVENS,21.99,5.25,27.24
2024-08-08,2018 Donruss Lamar Jackson Rookie Baltimore Ravens #317,20.0,4.75,24.75
2024-08-08,2018 Panini Donruss - Rated Rookie #317 Lamar Jackson (RC),22.5,3.96,26.46
2024-08-07,2018 Panini Donruss #317 Lamar Jackson Baltimore Ravens RC Rookie,20.0,5.35,25.35
2024-08-07,2018 Panini Donruss - Rated Rookie #317 Lamar Jackson (RC),25.0,4.02,29.02
2024-08-06,2018 Panini Donruss Lamar Jackson Rated Rookie RC #317 Baltimore Ravens (B),20.5,4.75,25.25
2024-08-06,2018 Panini Donruss Lamar Jackson Rated Rookie RC #317 Baltimore Ravens (A),18.54,4.75,23.29
2024-08-06,2018 Panini Donruss - Rated Rookie #317 Lamar Jackson (RC),12.0,5.35,17.35
2024-08-05,2018 Donruss Lamar Jackson Rated Rookie RC #317 Ravens,23.5,4.75,28.25
2024-08-05,2018 Panini Donruss Lamar Jackson Rated Rookie #317 Baltimore Ravens,46.0,5.25,51.25
2024-08-05,2018 Panini Donruss Rated Rookie #317 Lamar Jackson Baltimore Ravens MINT,24.99,5.0,29.99
2024-08-05,2018 Panini Donruss Football Lamar Jackson Rated Rookie #317,14.99,4.02,19.01
2024-08-04,2018 Panini Donruss - Rated Rookie #317 Lamar Jackson (RC),24.99,1.75,26.74
2024-08-04,LAMAR JACKSON RC - 2018 Panini Donruss Rated Rookie No.317 Football Card,29.99,4.99,34.98
2024-08-03,2018 Panini Donruss - Rated Rookie #317 Lamar Jackson (RC),19.99,1.99,21.98
2024-08-03,2018 Lamar Jackson Panini Donruss Rated Rookie #317 🔥,20.69,21.42,42.11
2024-08-03,2018 Donruss Lamar Jackson Rated Rookie #317 🔥📈 Ravens MVP,28.0,4.36,32.36
2024-08-03,2018 Panini Donruss - Rated Rookie #317 Lamar Jackson (RC),25.0,4.02,29.02
2024-08-03,2018 Panini Donruss - Rated Rookie #317 Lamar Jackson (RC),15.0,3.96,18.96
2024-08-01,2018 Panini Donruss - Rated Rookie #317 Lamar Jackson (RC),20.5,4.02,24.52
2024-08-01,"2018 Panini Donruss - Rated Rookie #317 Lamar Jackson, Lamar Jackson (RC)",0.99,3.96,4.95
2024-07-31,Lamar Jackson 2018 Panini Donruss RATED ROOKIE RC #317  READ DESCRIPTION,29.99,3.96,33.95
2024-07-30,"2018 Panini Donruss Rated Rookie #317 Lamar Jackson (Free Shipping, Free Offers)",30.0,0.0,30.0
2024-07-30,Lamar Jackson 2018 Panini Donruss RATED ROOKIE RC #317 MVP RAVENS,17.5,1.5,19.0
2024-07-30,2018 Panini Donruss Football Lamar Jackson Rated Rookie RC #317 Ravens,26.0,4.75,30.75
2024-07-30,Lamar Jackson 2018 Panini Donruss Rated Rookie RC #317,20.5,0.69,21.19
2024-07-30,2018 Panini Donruss - Rated Rookie #317 Lamar Jackson (RC),19.99,4.36,24.35
2024-07-30,2018 Donruss Lamar Jackson Rated Rookie #317,35.0,4.36,39.36
2024-07-28,Lamar Jackson 2018 Panini Donruss RATED ROOKIE RC #317 MVP RAVENS,20.0,1.5,21.5
