Sold Date,Name,Main Price,Shipping Cost,Listing Total,Listing Type
2024-10-14,2018 #154 Josh Allen Donruss Optic Holo PRIZM Rated Rookie RC,161.0,6.0,167.0,32 bids
2024-09-20,2018 #154 Josh Allen Donruss Optic Holo Rated Rookie (hard to find),400.0,4.54,404.54,Best offer accepted
2024-08-30,2018 Donruss Optic Josh Allen Rookie Silver Holo Prizm #154 - Buffalo Bills,169.95,0.0,169.95,or Best Offer
https://www.ebay.com/sch/i.html?_nkw=2018+Donruss+Optic+Josh+Allen+154+rookie+-CSG+-PSA+-BGS+-SGC+-HGA+holo+&Graded=No&_sacat=0&type=s&_dcat=261328&LH_Complete=1&LH_Sold=1&_ipg=240
Year,Product,Player Name
2018,Donruss+Optic,JoshAllen
