Sold Date,Name,Main Price,Shipping Cost,Listing Total,Listing Type
2024-10-28,2019 Panini Prizm - Rookies #301 Kyler Murray Arizona Cardinals RC,10.5,1.25,11.75,or Best Offer
2024-10-22,2019 Panini Prizm Kyler Murray Rookie RC #301 Cardinals 🔥📈,9.99,1.25,11.24,or Best Offer
2024-10-21,Kyler Murray 2019 Panini Prizm Rookie Card RC Arizona Cardinals #301 N25,8.99,0.0,8.99,Buy It Now
2024-10-17,2019 Panini Prizm Kyler Murray Rookie Arizona Cardinals #301 A11,1.54,1.75,3.29,2 bids
2024-10-17,2019 Panini Prizm #301 Kyler Murray RC Rookie Cardinals,9.99,0.75,10.74,Buy It Now
2024-10-14,2019 Panini Prizm Kyler Murray Rookie Card RC #301 Arizona Cardinals,7.49,4.75,12.24,6 bids
2024-10-11,2019 Panini Prizm Football Kyler Murray Base Rookie #301 Arizona Cardinals RC,8.6,1.07,9.67,Buy It Now
2024-10-09,2019 Panini Prizm KYLER MURRAY Oklahoma Arizona Cardinals Rookie RC #301,0.99,4.5,5.49,1 bid
2024-10-06,2019 Panini Prizm Kyler Murray Rookie RC #301 Cardinals,3.25,4.75,8.0,3 bids
2024-10-06,Kyler Murray 2019 Panini Prizm - Rookies #301 Arizona Cardinals RC🔥,5.13,3.99,9.12,2 bids
2024-10-04,2019 Panini Prizm Football Kyler Murray Base Rookie #301 Arizona Cardinals RC,9.99,1.25,11.24,Best offer accepted
2024-10-01,Kyler Murray 2019 Panini Prizm Rookie Card RC Arizona Cardinals #301 N25,4.0,5.0,9.0,6 bids
2024-10-01,ARIZONA CARDINALS 2019 Panini Prizm Kyler Murray  RC #301,4.99,1.25,6.24,or Best Offer
2024-10-01,Kyler Murray 2019 Panini Prizm Rookies #301  (RC) Rookie card Arizona Cardinals,5.5,1.49,6.99,3 bids
2024-09-30,2019 Panini Prizm #301 Kyler Murray ROOKIE RC CARDINALS,5.5,4.75,10.25,2 bids
2024-09-28,2019 Panini Prizm Kyler Murray  RC #301,5.0,5.65,10.65,1 bid
2024-09-26,Kyler Murray 2019 Panini Prizm ROOKIE CARD RC #301 Arizona Cardinals QTY,14.99,0.0,14.99,Buy It Now
2024-09-25,Kyler Murray 2019 Panini Prizm Rookie Card RC #301 Arizona Cardinals T19,8.0,5.0,13.0,7 bids
2024-09-25,2019 Panini Prizm KYLER MURRAY #301 RC Arizona Cardinals Oklahoma FREE SHIP!,14.95,0.0,14.95,or Best Offer
2024-09-22,2019 Panini Prizm - Rookies #301 Kyler Murray (RC),8.5,4.26,12.76,7 bids
2024-09-22,Kyler Murray 2019 Panini Prizm Rookie Card #301 RC Arizona Cardinals,9.99,0.75,10.74,Buy It Now
2024-09-20,2019 Panini Prizm Kyler Murray Rookie Card Base #301 Cardinals RC ,13.95,0.99,14.94,Buy It Now
2024-09-19,2019 Panini Prizm #301 Kyler Murray FOOTBALL Arizona Cardinals,16.0,0.0,16.0,Buy It Now
2024-09-17,"K245,349 - 2019 Panini Prizm #301 Kyler Murray RC",10.0,3.0,13.0,Best offer accepted
2024-09-17,2019 Panini Prizm - Rookies #301 Kyler Murray (RC),7.5,4.58,12.08,5 bids
2024-09-16,2019 Panini Prizm - Rookies #301 Kyler Murray (RC) Cardinals,19.99,1.25,21.24,or Best Offer
2024-09-14,2019 Panini Prizm Rookies Kyler Murray #301 Rookie RC,9.45,2.99,12.44,Buy It Now
2024-09-14,2019 Panini Prizm Kyler Murray #301 Rookie RC Arizona Cardinals,9.99,1.25,11.24,Buy It Now
2024-09-13,2019 Panini Prizm Kyler Murray #301 Rookie RC Arizona Cardinals,8.99,1.25,10.24,Buy It Now
2024-09-12,2019 Panini Prizm Kyler Murray #301 Rookie RC Arizona Cardinals,9.99,1.25,11.24,Buy It Now
2024-09-11,2019 Panini Prizm - Rookies #301 Kyler Murray (RC),8.0,1.25,9.25,Best offer accepted
2024-09-10,2019 Panini Prizm - Rookies #301 Kyler Murray (RC),6.0,4.37,10.37,4 bids
2024-09-09,2019 Panini Prizm - Rookies Prizm #301 Kyler Murray (RC),7.5,4.37,11.87,4 bids
2024-09-09,2019 Panini Prizm - Rookies #301 Kyler Murray (RC),4.25,4.5,8.75,3 bids
2024-09-08,2019 Panini Prizm Kyler Murray RC Rookie #301 Arizona Cardinals,12.99,0.0,12.99,Buy It Now
2024-09-06,2019 Panini Prizm - Rookies #301 Kyler Murray (RC),6.5,4.46,10.96,7 bids
2024-09-06,2019 Panini Prizm Kyler Murray RC Rookie #301 Arizona Cardinals,12.99,0.0,12.99,Best offer accepted
