Sold Date,Name,Main Price,Shipping Cost,Listing Total,Listing Type
2024-09-01,2019 Panini Prizm #301 Kyler Murray Rookie Arizona Cardinals,10.5,1.25,11.75,or Best Offer
2024-09-01,2019 Panini Prizm #301 Kyler Murray RC,12.99,1.5,14.49,13 bids
2024-09-01,2019 Panini Prizm - Rookies #301 Kyler Murray (RC),11.65,1.95,13.6,Best offer accepted
2024-08-31,KYLER MURRAY 2019 Panini Prizm #301 Rookie RC,15.0,1.25,16.25,Buy It Now
2024-08-31,"K241,699 - 2019 Panini Prizm #301 Kyler Murray RC",10.0,3.0,13.0,or Best Offer
2024-08-31,2019 Panini Prizm #301 Kyler Murray RC,10.95,1.25,12.2,Best offer accepted
2024-08-31,2019 Panini Prizm Kyler Murray #301 Rookie RC Arizona Cardinals,9.99,0.0,9.99,or Best Offer
2024-08-30,2019 Panini Prizm - Rookies #301 Kyler Murray (RC),14.0,1.25,15.25,or Best Offer
2024-08-30,Kyler Murray 2019 Panini Prizm #301 Arizona Cardinals Rookie Card,12.0,4.37,16.37,or Best Offer
2024-08-29,Panini Prizm 2019 Kyler Murray Rookie #301 Arizona Cardinals,12.0,2.0,14.0,1 bid
2024-08-29,2019 PANINI PRIZM #301 KYLER MURRAY ROOKIE RC CHROME CARDINALS,10.5,5.9,16.4,5 bids
2024-08-28,"K238,705 - 2019 Panini Prizm #301 Kyler Murray RC",10.0,3.0,13.0,Best offer accepted
2024-08-25,Kyler Murray Rookie - 2019 Panini Prizm #301,15.0,0.75,15.75,Best offer accepted
2024-08-25,Kyler Murray 2019 Panini Prizm #301 Arizona Cardinals Rookie Card,9.99,0.0,9.99,Best offer accepted
2024-08-24,2019 Panini Prizm - Rookies #301 Kyler Murray (RC),6.5,1.12,7.62,Best offer accepted
2024-08-24,Kyler Murray 2019 Panini Prizm #301 Arizona Cardinals Rookie Card,7.5,4.26,11.76,2 bids
2024-08-22,"K235,276 - 2019 Panini Prizm #301 Kyler Murray RC",10.0,3.0,13.0,5 bids
2024-08-22,Kyler Murray 2019 Panini Prizm #301 Arizona Cardinals Rookie Card,12.99,1.99,14.98,or Best Offer
2024-08-18,KYLER MURRAY 2019 Panini Prizm #301 Rookie RC,15.0,1.25,16.25,Buy It Now
2024-08-15,2019 PANINI PRIZM #301 KYLER MURRAY ROOKIE RC CHROME CARDINALS,7.5,5.9,13.4,5 bids
2024-08-15,KYLER MURRAY 2019 Panini Prizm #301 Rookie RC,14.99,1.25,16.24,Buy It Now
2024-08-14,Panini Prizm 2019 Kyler Murray Rookie #301 Arizona Cardinals,9.99,1.29,11.28,Buy It Now
2024-08-14,Kyler Murray Prizm RC #301 Arizona Cardinals Rookie 2019 Panini Clean Centered ,20.0,1.25,21.25,Best offer accepted
2024-08-12,2019 Panini Prizm Kyler Murray Base RC #301,11.5,1.25,12.75,5 bids
2024-08-11,KYLER MURRAY 2019 PANINI PRIZM ROOKIE ARIZONA CARDINALS #301 RC AUTO Q0617,12.5,5.5,18.0,6 bids
2024-08-11,(2) KYLER MURRAY 2019 Panini Prizm #301 Rookie RC,18.5,4.58,23.08,7 bids
2024-08-08,2019 Panini Prizm Kyler Murray Base RC #301,15.0,4.99,19.99,Best offer accepted
2024-08-04,2019 Panini Prizm - #301 Kyler Murray (RC),20.0,4.58,24.58,1 bid
2024-08-04,KYLER MURRAY 2019 Panini Prizm #301 Rookie RC,14.99,1.79,16.78,Best offer accepted
2024-07-30,2019 Panini Prizm - Rookies #301 Kyler Murray (RC),14.99,0.0,14.99,Buy It Now
2024-07-30,2019 Panini Prizm Kyler Murray Base Rookie Card RC #301 Cardinals,4.75,4.75,9.5,6 bids
2024-07-30,2019 Panini Prizm Kyler Murray Base RC No. 301 Arizona Cardinals,12.95,1.0,13.95,or Best Offer
https://www.ebay.com/sch/i.html?_nkw=2019+Panini+Prizm+Kyler+Murray+301+-CSG+-PSA+-BGS+-SGC+-HGA+-parallel+-shimmer+-sparkle+-wave+-scope+-power+-vinyl+-finite+-ice+-hyper+-disco+-lazer+-camo++-silver+-orange+-blue+-green+-neon+-green+-pink+-red+-red+-white+-blue+-purple+-gold+-black&Graded=No&_sacat=0&type=s&_dcat=261328&LH_Complete=1&LH_Sold=1&_ipg=240
Year,Product,Player Name
2019,Panini+Prizm,KylerMurray
